"","generations","abundance"
"1",1,200
"2",2,229.6
"3",3,263.5128384
"4",4,302.345373999984
"5",5,346.783052848189
"6",6,397.597925917991
"7",7,455.656773698746
"8",8,521.929058799383
"9",9,597.494318195098
"10",10,683.548471321609
"11",11,781.408356893389
"12",12,892.513620225169
"13",13,1018.42485763607
"14",14,1160.81669437497
"15",15,1321.46424455182
"16",16,1502.2212037383
"17",17,1704.98769884944
"18",18,1931.66602314458
"19",19,2184.10259036655
"20",20,2464.01493766907
"21",21,2772.90348218887
"22",22,3111.94906730185
"23",23,3481.89915742232
"24",24,3882.94781361109
"25",25,4314.61714842048
"26",26,4775.65050930911
"27",27,5263.92970783483
"28",28,5776.42960431979
"29",29,6309.22265523114
"30",30,6857.54314838299
"31",31,7415.9156403211
"32",32,7978.34493852567
"33",33,8538.55679972354
"34",34,9090.27079746102
"35",35,9627.48118536845
"36",36,10144.7194234275
"37",37,10637.2740151409
"38",38,11101.3491326801
"39",39,11534.1519769256
"40",40,11933.9081551963
"41",41,12299.8127399091
"42",42,12631.9307165272
"43",43,12931.0635877348
"44",44,13198.5990707946
"45",45,13436.358757098
"46",46,13646.4552041683
"47",47,13831.1660883998
"48",48,13992.8294480108
"49",49,14133.7611056012
"50",50,14256.1932415393
"51",51,14362.2317703691
"52",52,14453.8295216665
"53",53,14532.7720715025
"54",54,14600.6732414054
"55",55,14658.9776365933
"56",56,14708.9680285809
"57",57,14751.7758282099
"58",58,14788.3933015838
"59",59,14819.6865323981
"60",60,14846.4084230724
"61",61,14869.2112558865
"62",62,14888.6585105476
"63",63,14905.2357646928
"64",64,14919.3605973859
"65",65,14931.3914806455
"66",66,14941.6356872594
"67",67,14950.3562702405
"68",68,14957.7781847053
"69",69,14964.0936301827
"70",70,14969.4666929813
"71",71,14974.0373662058
"72",72,14977.9250206914
"73",73,14981.2313945405
"74",74,14984.043162754
"75",75,14986.4341421343
"76",76,14988.4671804892
"77",77,14990.1957733565
"78",78,14991.6654461245
"79",79,14992.9149345579
"80",80,14993.9771923927
"81",81,14994.8802507917
"82",82,14995.6479510546
"83",83,14996.3005689931
"84",84,14996.8553467862
"85",85,14997.3269458799
"86",86,14997.7278325457
"87",87,14998.0686060364
"88",88,14998.3582778281
"89",89,14998.6045092014
"90",90,14998.8138133472
"91",91,14998.9917272748
"92",92,14999.1429580174
"93",93,14999.2715069696
"94",94,14999.3807756171
"95",95,14999.4736554402
"96",96,14999.5526043538
"97",97,14999.6197116991
"98",98,14999.676753498
"99",99,14999.7252394284
"100",100,14999.7664527592
